,GWA Title,m1_pred,m2_pred,m3_pred,m4_pred
18859,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates",Documenting/Recording Information,Monitoring and Controlling Resources,"Guiding, Directing, and Motivating Subordinates"
18860,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18861,Handling and Moving Objects,"Monitoring Processes, Materials, or Surroundings",Handling and Moving Objects,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
18862,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18863,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18864,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18865,Training and Teaching Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others
18866,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects
18867,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18868,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects
18869,Getting Information,Getting Information,Getting Information,Getting Information,Getting Information
18870,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18871,Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18872,Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18873,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
18874,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18875,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,"Judging the Qualities of Objects, Services, or People",Analyzing Data or Information
18876,Repairing and Maintaining Mechanical Equipment,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings",Controlling Machines and Processes,Controlling Machines and Processes
18877,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Estimating the Quantifiable Characteristics of Products, Events, or Information","Monitoring Processes, Materials, or Surroundings"
18878,Repairing and Maintaining Mechanical Equipment,Controlling Machines and Processes,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
18879,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
18880,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
18881,Repairing and Maintaining Mechanical Equipment,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
18882,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18883,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18884,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18885,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes
18886,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Performing Administrative Activities,Monitoring and Controlling Resources
18887,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Thinking Creatively,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others
18888,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18889,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
18890,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,"Communicating with Supervisors, Peers, or Subordinates",Controlling Machines and Processes
18891,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes
18892,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18893,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
18894,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
18895,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
18896,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
18897,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects
18898,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes
18899,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes
18900,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
18901,Getting Information,Getting Information,Getting Information,Getting Information,Getting Information
18902,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18903,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment
18904,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes
18905,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18906,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
18907,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Performing for or Working Directly with the Public,Controlling Machines and Processes,Repairing and Maintaining Mechanical Equipment
18908,Handling and Moving Objects,Making Decisions and Solving Problems,Working with Computers,"Communicating with Supervisors, Peers, or Subordinates",Working with Computers
18909,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18910,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18911,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Repairing and Maintaining Mechanical Equipment,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others
18912,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18913,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18914,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects
18915,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects
18916,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
18917,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
18918,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
18919,Handling and Moving Objects,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
18920,"Operating Vehicles, Mechanized Devices, or Equipment",Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
18921,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
18922,Scheduling Work and Activities,"Communicating with Supervisors, Peers, or Subordinates",Performing Administrative Activities,Selling or Influencing Others,"Communicating with Supervisors, Peers, or Subordinates"
18923,Training and Teaching Others,Training and Teaching Others,"Guiding, Directing, and Motivating Subordinates",Training and Teaching Others,"Guiding, Directing, and Motivating Subordinates"
18924,"Guiding, Directing, and Motivating Subordinates",Training and Teaching Others,"Guiding, Directing, and Motivating Subordinates",Training and Teaching Others,"Guiding, Directing, and Motivating Subordinates"
18925,Handling and Moving Objects,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Analyzing Data or Information,Thinking Creatively,Analyzing Data or Information
18926,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18927,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18928,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18929,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
18930,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
18931,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18932,Handling and Moving Objects,Thinking Creatively,Thinking Creatively,Thinking Creatively,Thinking Creatively
18933,Monitoring and Controlling Resources,Documenting/Recording Information,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Performing Administrative Activities,Performing Administrative Activities
18934,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18935,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
18936,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects
18937,Getting Information,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
18938,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
18939,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18940,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18941,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18942,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Controlling Machines and Processes,Documenting/Recording Information
18943,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Making Decisions and Solving Problems,Analyzing Data or Information,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others
18944,Providing Consultation and Advice to Others,Making Decisions and Solving Problems,Analyzing Data or Information,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others
18945,Monitoring and Controlling Resources,Repairing and Maintaining Mechanical Equipment,Monitoring and Controlling Resources,Repairing and Maintaining Mechanical Equipment,Monitoring and Controlling Resources
18946,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
18947,"Monitoring Processes, Materials, or Surroundings","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18948,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18949,"Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18950,Getting Information,Getting Information,Documenting/Recording Information,Analyzing Data or Information,Documenting/Recording Information
18951,Training and Teaching Others,Training and Teaching Others,Training and Teaching Others,Training and Teaching Others,Training and Teaching Others
18952,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18953,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment
18954,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment
18955,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
18956,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18957,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18958,"Inspecting Equipment, Structures, or Materials",Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18959,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18960,Handling and Moving Objects,Handling and Moving Objects,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Handling and Moving Objects,Handling and Moving Objects
18961,Handling and Moving Objects,Handling and Moving Objects,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Handling and Moving Objects,Handling and Moving Objects
18962,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18963,"Operating Vehicles, Mechanized Devices, or Equipment",Performing for or Working Directly with the Public,Performing for or Working Directly with the Public,Assisting and Caring for Others,Assisting and Caring for Others
18964,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18965,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
18966,"Inspecting Equipment, Structures, or Materials",Handling and Moving Objects,Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials",Handling and Moving Objects
18967,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18968,Handling and Moving Objects,"Monitoring Processes, Materials, or Surroundings",Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
18969,Handling and Moving Objects,"Monitoring Processes, Materials, or Surroundings",Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
18970,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18971,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18972,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18973,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities
18974,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
18975,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
18976,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
18977,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18978,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18979,"Monitoring Processes, Materials, or Surroundings","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings","Inspecting Equipment, Structures, or Materials"
18980,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings","Inspecting Equipment, Structures, or Materials"
18981,"Inspecting Equipment, Structures, or Materials",Controlling Machines and Processes,"Inspecting Equipment, Structures, or Materials",Controlling Machines and Processes,"Inspecting Equipment, Structures, or Materials"
18982,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
18983,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
18984,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
18985,Analyzing Data or Information,Analyzing Data or Information,Analyzing Data or Information,Analyzing Data or Information,Analyzing Data or Information
18986,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Controlling Machines and Processes,Documenting/Recording Information
18987,Getting Information,Getting Information,Getting Information,Getting Information,Getting Information
18988,Documenting/Recording Information,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
18989,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
18990,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18991,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18992,Training and Teaching Others,Training and Teaching Others,Training and Teaching Others,Training and Teaching Others,Training and Teaching Others
18993,Working with Computers,Working with Computers,Working with Computers,Working with Computers,Thinking Creatively
18994,"Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates"
18995,"Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates"
18996,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
18997,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Inspecting Equipment, Structures, or Materials"
18998,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Communicating with Supervisors, Peers, or Subordinates"
18999,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Communicating with Supervisors, Peers, or Subordinates"
19000,"Communicating with Supervisors, Peers, or Subordinates","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Communicating with Supervisors, Peers, or Subordinates"
19001,Repairing and Maintaining Mechanical Equipment,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
19002,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
19003,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
19004,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
19005,Getting Information,Getting Information,Getting Information,Getting Information,Getting Information
19006,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes
19007,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
19008,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
19009,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
19010,Controlling Machines and Processes,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
19011,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities
19012,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
19013,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
19014,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
19015,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
19016,"Inspecting Equipment, Structures, or Materials",Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials",Handling and Moving Objects,Handling and Moving Objects
19017,Performing General Physical Activities,Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials",Handling and Moving Objects,Handling and Moving Objects
19018,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
19019,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
19020,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
19021,Handling and Moving Objects,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Monitoring and Controlling Resources,Monitoring and Controlling Resources
